DateTime,Entries,UniqueIPs
1537287641,4938,4938
1537299641,4911,4911
1537311641,4922,4922
1537323639,4838,4838
1537335640,4748,4748
1537347639,4805,4805
1537357241,4859,4859
1537368641,4872,4872
1537379440,4888,4888
1537389639,4944,4944
1537401041,4975,4975
1537411841,5022,5022
1537422640,4996,4996
1537433440,5010,5010
1537443642,5072,5072
1537453240,5019,5019
1537463441,5095,5095
1537474839,4953,4953
1537485041,4971,4971
1537495841,5006,5006
1537506647,5014,5014
1537517443,5203,5203
1537526442,5142,5142
1537537841,5109,5109
1537549245,4978,4978
1537560639,4740,4740
1537572040,4770,4770
1537582856,4709,4709
1537592440,4738,4738
1537602039,4610,4610
1537612838,4534,4534
1537623638,4472,4472
1537634440,4451,4451
1537644646,4547,4547
1537654239,4552,4552
1537664442,4571,4571
1537674037,4485,4485
1537682441,4476,4476
1537693251,4325,4325
1537702839,4290,4290
1537713637,4271,4271
1537725636,4174,4174
1537735236,4113,4113
1537745437,4165,4165
1537755038,4217,4217
1537763437,4267,4267
1537771837,4259,4259
1537781438,4248,4248
1537791037,4139,4139
1537803635,3705,3705
1537813836,3623,3623
1537822836,3616,3616
1537831235,3620,3620
1537839035,3666,3666
1537846834,3675,3675
1537855243,3729,3729
1537863035,3668,3668
1537871440,3648,3648
1537878035,3668,3668
1537885835,3743,3743
1537893655,3676,3676
1537901436,3552,3552
1537909835,3442,3442
1537919434,3364,3364
1537929033,3204,3204
1537938632,3131,3131
1537947041,3161,3161
1537955434,3128,3128
1537963234,3229,3229
1537970434,3263,3263
1537977035,3309,3309
1537984234,3300,3300
1537990834,3258,3258
1537998033,3269,3269
1538005233,3286,3286
1538013033,3239,3239
1538020834,3114,3114
1538027433,3135,3135
1538034638,3100,3100
1538041834,3096,3096
1538048447,3159,3159
1538056250,3156,3156
1538063452,3221,3221
1538070660,3267,3267
1538077837,3246,3246
1538084451,3258,3258
1538091652,3275,3275
1538098247,3303,3303
1538104245,3295,3295
1538111445,3220,3220
1538118675,3408,3408
1538125284,3362,3362
1538131255,3352,3352
1538139044,3262,3262
1538148049,3183,3183
1538155851,3182,3182
1538163052,3207,3207
1538170852,3096,3096
1538179249,3072,3072
1538187043,3046,3046
1538194850,3102,3102
1538201452,3143,3143
1538209249,3198,3198
1538217055,3108,3108
1538224856,2950,2950
1538232657,3040,3040
1538239258,3061,3061
1538247659,3054,3054
1538254263,3002,3002
1538262039,3015,3015
1538268634,2999,2999
1538275234,3015,3015
1538282435,2994,2994
1538289646,3009,3009
1538296247,2961,2961
1538303457,2905,2905
1538310649,2889,2889
1538317248,2892,2892
1538323850,2991,2991
1538331649,2965,2965
1538339450,2851,2851
1538346649,2826,2826
1538353249,2857,2857
